Max,Mean,Min,StandardDev,AvgDev
789.803772,767.158523,745.894104,11.9654,10.354708
783.573853,766.894978,748.47644,8.953376,7.49937
783.066406,768.842414,752.146912,7.131111,6.029943
779.184204,763.819906,747.408203,7.406658,6.218601
778.999329,763.318015,751.481873,6.759023,5.551722
780.316589,762.827875,750.150635,7.712945,6.73253
783.647888,763.870374,744.116272,9.763978,8.022373
781.094727,763.138631,744.417236,9.167343,7.754827
785.731506,764.666817,745.727173,10.522805,9.230427
784.291382,764.37006,746.094482,9.711915,8.124456
790.190491,764.47352,743.212646,10.850704,9.073665
783.10791,765.301927,751.244324,7.587481,6.597728
788.556274,766.067966,747.141907,9.363816,7.665607
778.740662,761.961439,746.357849,7.966094,6.773321
781.533081,766.015929,747.072937,9.261171,8.167801
781.138916,762.799222,742.338196,10.151052,8.718799
782.453857,766.783061,751.320862,8.777461,7.712548
782.44043,765.786454,750.746948,8.950062,8.014136
784.552124,766.579445,750.826904,7.854415,6.652301
782.236511,767.384537,753.706848,8.252586,7.122953
776.052185,766.062943,753.840149,4.186118,3.244973
773.450684,764.703989,755.302612,4.167972,3.209075
773.944458,764.128719,753.950256,4.523329,3.635636
772.344482,765.059303,757.545349,3.744671,3.17528
779.084717,765.131503,757.460205,4.170926,3.263686
778.142029,767.410596,761.181335,3.761219,3.054506
774.57666,765.718893,755.074158,4.255682,3.357315
780.497925,764.7921,742.845215,8.045524,6.184002
774.743164,764.493977,750.884155,5.158793,4.211179
780.73877,766.759503,754.613159,5.982626,5.14071
777.314636,764.857772,750.287292,5.790935,4.740263
775.012878,763.404293,750.02002,6.783903,5.893406
778,763.451735,750.159973,6.670206,5.8394
778.771484,761.729479,746.553406,6.893298,5.564564
780.22113,765.663321,746.840698,7.550823,6.20039
781.24646,767.18865,752.567627,7.081547,5.974725
782.530518,768.027519,757.17041,7.326021,6.416041
782.091431,769.180621,758.488647,4.644941,3.443986
775.426331,768.126394,757.63446,3.82924,3.181326
778.845276,769.92047,761.837891,3.894788,3.154675
778.985901,770.18476,762.205383,3.828745,3.147352
775.881409,765.906737,757.145325,4.254858,3.373695
775.892395,764.89877,750.856873,5.573923,4.42718
772.976685,764.677669,756.437683,3.986601,3.291353
778.515259,767.595132,759.206848,4.395386,3.541684
778.903687,769.490007,757.612671,4.273521,3.411228
778.564697,769.643386,759.764465,4.764632,4.034225
781.384644,768.713606,759.900635,5.193174,4.160411
776.171997,767.938174,755.873657,4.841639,3.968759
777.741577,768.856382,761.516907,3.811445,3.094624
775.285095,767.856331,758.135864,3.808173,3.073131
783.824585,770.57608,763.015747,4.885102,4.138321
779.453003,768.576799,756.456848,5.611423,4.6776
776.410339,767.802393,758.219604,4.133369,3.361735
780.252502,767.630286,754.424927,5.612549,4.677292
773.420349,763.463854,749.963318,5.232301,4.221454
774.32489,762.900002,752.640015,4.858292,3.994468
779.64801,764.597649,755.050354,5.436765,4.413685
776.278931,766.508496,755.56665,5.263859,4.399006
785.110168,770.086727,759.516296,5.518774,4.565934
785.101929,769.823531,757.023804,5.87512,4.848917
778.506897,768.931981,757.254272,5.183457,4.362001
779.670471,769.047953,757.095093,4.983969,4.139504
788.391418,771.707024,754.135925,7.474106,5.798847
795.727356,772.127283,741.782288,13.917445,11.664802
805.708374,769.076436,736.433289,19.846289,17.330858
804.37616,768.675899,734.850342,22.618926,20.43383
808.649475,767.579023,732.909973,22.529095,20.108834
805.542053,768.261924,726.395203,21.334933,19.192994
799.048157,767.777965,736.551453,19.119865,17.340862
801.974426,768.554501,735.40802,19.54086,17.221479
797.083435,766.131924,730.995911,20.49526,18.241438
801.175415,768.717041,737.684204,19.571593,17.630621
801.804199,767.160889,736.033264,20.049958,17.531192
800.106262,768.206609,734.046326,20.132447,17.833887
803.704529,764.810432,724.039368,24.482975,21.657466
795.354614,768.741028,735.70105,8.207625,5.783629
781.61499,769.435946,758.347534,5.03839,3.989296
782.202637,770.419583,760.302551,5.44671,4.436944
780.04425,770.768105,758.637573,5.128483,4.45328
780.839294,768.140179,756.548767,5.3757,4.501377
782.934204,767.360634,755.378052,5.750656,4.535919
784.021667,768.935905,756.805786,6.701269,5.594324
788.335571,768.393001,758.995361,6.536564,5.21302
778.63147,767.638182,754.354675,5.746164,4.809533
779.623657,768.3018,757.480713,5.551358,4.475877
788.7547,770.291442,758.61322,6.490882,5.06293
778.449768,768.226469,755.481995,5.441687,4.383032
778.399658,767.256095,751.830444,4.925846,3.707573
775.804749,761.253273,724.466675,11.452549,8.109871
775.087708,765.151614,755.175476,4.65371,3.58798
780.474854,768.563235,755.670593,4.264219,3.336829
775.363159,764.421092,750.894104,5.912418,4.992402
774.334534,764.288821,753.696228,5.395481,4.676581
774.381714,765.546057,755.405823,5.105,4.411479
779.017944,764.249896,744.471619,6.86995,5.581581
778.330261,764.183934,752.221375,6.760325,5.852723
775.82019,763.939551,752.317749,5.020856,3.910531
778.471558,764.65134,749.545166,6.969844,5.67733
777.614929,765.049047,750.193298,6.345573,5.218596
777.512695,762.722989,747.252319,5.612694,4.507821
772.775513,763.606419,754.454773,4.46434,3.726824
799.072571,765.880852,752.001343,9.719441,6.540209
767.620361,761.503966,750.003357,3.429835,2.788619
767.824829,760.398185,750.483154,3.905676,3.085643
774.357178,764.269978,752.006653,4.810428,3.695787
776.12561,765.764621,756.357727,4.167561,3.360691
773.000671,764.992747,757.714355,3.328637,2.738362
779.005798,769.950156,761.875305,3.498172,2.833105
782.157898,768.592882,757.821899,5.409672,4.246067
778.358521,766.955643,757.129456,4.357256,3.343002
779.182251,766.618853,757.520325,4.223123,3.259212
778.123413,768.414915,758.480713,4.014404,3.192852
774.677368,766.713403,755.159607,4.430977,3.699791
785.201233,767.759597,754.605225,7.112088,5.892231
781.226624,765.741275,748.888489,6.642536,4.99568
777.555786,766.292432,750.222656,5.847074,4.599869
777.782776,765.31128,754.589966,5.041962,3.977044
773.990967,764.755332,756.766785,4.207087,3.43963
779.406799,763.187832,752.471252,5.495368,4.620447
781.678955,765.367356,751.700745,5.66665,4.478819
780.564514,765.701392,755.773132,4.87048,4.049209
778.034058,764.97498,755.794922,4.963255,3.89428
777.092041,766.14132,754.671448,5.50307,4.511755
777.393066,764.931881,753.174622,5.262452,4.434029
773.251587,763.836884,752.907715,4.409967,3.671112
770.454407,761.287178,749.876648,4.626242,3.538899
772.416992,760.824843,746.153442,5.995195,4.935229
774.557312,760.300635,744.643555,6.691346,5.533283
771.965698,762.311715,749.291687,6.061257,5.120387
772.198181,762.198477,750.537781,4.820686,3.773206
772.96637,763.074606,754.242004,5.040089,4.266907
773.058228,763.315433,753.513123,4.380971,3.57376
772.017517,761.054323,751.757263,4.776059,3.9513
772.433838,759.209545,749.721924,4.27795,3.506464
771.602234,763.251417,753.172607,4.188267,3.351326
776.417419,764.742147,755.492554,4.713935,3.856216
776.797241,765.321386,754.803955,4.972179,3.903295
775.565613,765.513668,754.772156,4.849147,3.853368
778.122742,765.139028,749.759277,6.645085,5.378116
776.606079,764.90192,751.775208,6.704894,5.671321
783.178162,767.13333,753.799683,6.339107,5.178142
781.40448,766.079439,749.168213,9.561711,8.601269
781.987854,764.255403,749.539856,7.900099,6.59135
782.862061,764.032034,750.345276,7.661663,6.406532
779.193176,765.556653,747.638306,8.123257,7.043171
779.479309,768.263668,756.80249,6.009948,5.129497
785.916687,768.737753,752.762268,7.797693,6.378075
788.21637,767.597117,750.803589,9.473804,8.057006
787.896545,767.416597,750.53717,8.608289,6.989335
783.342834,764.672569,747.343994,9.745228,8.454111
786.985413,764.073904,746.588257,9.0539,7.539382
775.305115,765.144176,752.38623,5.136395,4.362159
776.333069,767.101199,752.943542,5.340434,4.37759
779.156616,764.13976,755.249634,5.127751,4.285947
773.840393,763.39994,752.541016,5.14601,4.466883
783.931763,766.447453,749.17157,7.549106,6.12136
778.216553,767.369197,758.097595,4.880178,4.011768
780.166626,766.362638,754.065002,5.302199,4.385858
780.441528,768.379236,760.954651,4.317314,3.370298
778.301331,768.226079,757.193481,4.698114,3.935898
774.463684,765.072655,753.873352,5.51866,4.657716
774.980652,764.143864,756.867859,4.35137,3.704978
776.497925,766.054608,758.203125,4.198192,3.473695
779.997437,764.856866,751.628235,6.178029,5.151241
773.023315,762.028213,751.803833,4.216508,3.388916
774.051697,763.069241,752.022583,4.142143,3.116085
774.661865,764.320956,754.796631,4.200791,3.323621
772.457092,761.122683,751.73999,4.800841,3.964578
771.727295,760.657836,745.116089,5.856575,4.75563
776.953674,763.648057,753.634521,4.484166,3.590109
775.590759,763.752352,752.166199,5.44535,4.500335
773.804871,761.889602,748.885864,6.626273,5.495208
770.793762,760.763864,750.499146,3.979535,3.14966
772.689453,764.105548,752.120361,4.013562,3.040404
792.036011,762.836504,726.483337,12.83749,8.516679
826.109558,766.425794,701.270264,37.904214,33.745232
904.746399,769.595243,654.171204,66.980757,59.018957
883.246826,768.80892,662.049866,70.506461,63.282668
883.811646,764.986537,660.292358,68.684484,61.217635
870.966125,765.512048,662.295227,65.050065,58.006179
880.709351,762.700935,643.927002,72.084632,64.629931
879.269043,762.901022,643.927002,74.297241,66.61755
872.666016,766.692779,639.781189,68.604317,61.293581
827.934204,765.494638,710.161926,33.55825,29.503673
804.907471,765.486335,723.708496,23.335986,20.163022
809.092102,766.354316,725.807129,25.173058,22.199547
804.292236,760.720475,723.928162,21.409473,18.928131
790.271484,761.777507,736.0849,15.1773,13.4452
834.895203,758.020246,686.094727,40.120521,34.633514
852.066284,759.442348,660.601257,62.238034,55.737576
856.876892,759.44476,646.672241,64.911711,57.68627
867.726318,762.236274,651.871948,70.930074,63.29197
